week	wins	team	division	record
0	0		AL East	
1	4.2	BAL	AL East	4-1
2	7.2	BAL	AL East	7-3
3	12	BAL	AL East	12-4
4	14	BAL	AL East	14-8
5	18.8	BAL	AL East	19-10
6	22	BAL	AL East	22-13
7	25	BAL	AL East	25-16
8	25	BAL	AL East	25-22
9	29.2	BAL	AL East	29-25
10	31	BAL	AL East	31-29
1	2	BOS	AL East	2-2
2	6.2	BOS	AL East	6-5
3	10.2	BOS	AL East	10-8
4	12.2	BOS	AL East	12-11
5	16.2	BOS	AL East	16-14
6	19	BOS	AL East	19-17
7	21	BOS	AL East	21-21
8	27	BOS	AL East	27-21
9	30	BOS	AL East	30-25
10	34	BOS	AL East	34-27
1	1.2	NYY	AL East	1-4
2	6.8	NYY	AL East	7-4
3	11	NYY	AL East	11-6
4	15	NYY	AL East	15-7
5	19.2	NYY	AL East	19-9
6	21	NYY	AL East	21-12
7	24	NYY	AL East	24-16
8	28	NYY	AL East	28-18
9	32	NYY	AL East	32-21
10	36	NYY	AL East	36-23
1	3.8	TB	AL East	4-2
2	5.8	TB	AL East	6-6
3	9.8	TB	AL East	10-9
4	11.8	TB	AL East	12-13
5	15.8	TB	AL East	16-16
6	18	TB	AL East	18-21
7	23	TB	AL East	23-22
8	26	TB	AL East	26-26
9	28.8	TB	AL East	29-29
10	33	TB	AL East	33-32
1	0.8	TOR	AL East	1-4
2	2	TOR	AL East	2-9
3	4	TOR	AL East	4-13
4	7	TOR	AL East	7-17
5	10	TOR	AL East	10-20
6	16	TOR	AL East	16-21
7	18	TOR	AL East	18-26
8	23	TOR	AL East	23-26
9	27	TOR	AL East	27-29
10	30	TOR	AL East	30-32
1	1	ATL	NL East	1-4
2	4.2	ATL	NL East	4-6
3	6	ATL	NL East	6-11
4	10.2	ATL	NL East	10-12
5	11	ATL	NL East	11-17
6	13.2	ATL	NL East	13-20
7	18.2	ATL	NL East	18-22
8	21	ATL	NL East	21-26
9	23.2	ATL	NL East	23-30
10	27	ATL	NL East	27-34
1	3.2	MIA	NL East	3-2
2	6.2	MIA	NL East	6-5
3	9	MIA	NL East	9-8
4	10	MIA	NL East	10-12
5	12.2	MIA	NL East	12-17
6	12.8	MIA	NL East	13-22
7	14.8	MIA	NL East	15-27
8	17.2	MIA	NL East	17-30
9	22.8	MIA	NL East	23-31
10	26.8	MIA	NL East	27-34
1	2.2	NYM	NL East	2-3
2	7	NYM	NL East	7-5
3	7.8	NYM	NL East	8-10
4	9.8	NYM	NL East	10-13
5	14	NYM	NL East	14-15
6	16	NYM	NL East	16-19
7	17.8	NYM	NL East	18-23
8	20	NYM	NL East	20-27
9	24	NYM	NL East	24-30
10	27.2	NYM	NL East	27-33
1	1.8	PHI	NL East	2-3
2	3.8	PHI	NL East	4-7
3	8.2	PHI	NL East	8-9
4	11	PHI	NL East	11-11
5	11.8	PHI	NL East	12-17
6	13	PHI	NL East	13-20
7	15.2	PHI	NL East	15-25
8	16.8	PHI	NL East	17-30
9	18	PHI	NL East	18-35
10	21	PHI	NL East	21-39
1	2.8	WSH	NL East	3-2
2	5.8	WSH	NL East	6-5
3	12	WSH	NL East	12-5
4	16	WSH	NL East	16-8
5	21	WSH	NL East	21-9
6	23	WSH	NL East	23-12
7	25	WSH	NL East	25-17
8	30	WSH	NL East	30-18
9	34	WSH	NL East	34-20
10	38	WSH	NL East	38-23
1	2.2	CHW	AL Central	2-2
2	5.2	CHW	AL Central	5-5
3	7.2	CHW	AL Central	7-9
4	13.2	CHW	AL Central	13-9
5	15	CHW	AL Central	15-14
6	16	CHW	AL Central	16-18
7	19	CHW	AL Central	19-22
8	22	CHW	AL Central	22-26
9	24.2	CHW	AL Central	24-30
10	26	CHW	AL Central	26-34
1	2.8	CLE	AL Central	3-2
2	5	CLE	AL Central	5-6
3	10	CLE	AL Central	10-7
4	12.8	CLE	AL Central	13-10
5	16	CLE	AL Central	16-13
6	18.2	CLE	AL Central	18-17
7	22	CLE	AL Central	22-19
8	24	CLE	AL Central	24-23
9	27.8	CLE	AL Central	28-26
10	30	CLE	AL Central	30-29
1	3.2	DET	AL Central	3-1
2	7.2	DET	AL Central	7-4
3	9	DET	AL Central	9-8
4	10.8	DET	AL Central	11-12
5	14.8	DET	AL Central	15-14
6	17.8	DET	AL Central	18-17
7	20.8	DET	AL Central	21-20
8	23	DET	AL Central	23-26
9	27	DET	AL Central	27-28
10	29	DET	AL Central	29-32
1	1.8	KC	AL Central	2-3
2	4.8	KC	AL Central	5-6
3	6.8	KC	AL Central	7-10
4	7	KC	AL Central	7-15
5	10	KC	AL Central	10-19
6	15	KC	AL Central	15-21
7	17	KC	AL Central	17-24
8	21	KC	AL Central	21-27
9	23.8	KC	AL Central	24-30
10	27	KC	AL Central	27-34
1	4	MIN	AL Central	4-1
2	6.8	MIN	AL Central	7-4
3	8	MIN	AL Central	8-9
4	11.2	MIN	AL Central	11-11
5	15.2	MIN	AL Central	15-13
6	19	MIN	AL Central	19-14
7	21.2	MIN	AL Central	21-17
8	26	MIN	AL Central	26-19
9	28.2	MIN	AL Central	28-24
10	32	MIN	AL Central	32-26
1	3.2	CHC	NL Central	3-2
2	6.2	CHC	NL Central	6-5
3	10	CHC	NL Central	10-7
4	13	CHC	NL Central	13-10
